combinations             integer         fixed point                  FP
00000000                   0                   0                   0
00000001                   1                0.25    Denormal number 1.52588e-05
00000010                   2                 0.5    Denormal number 3.05176e-05
00000011                   3                0.75    Denormal number 4.57764e-05
00000100                   4                   1         6.10352e-05
00000101                   5                1.25         7.62939e-05
00000110                   6                 1.5         9.15527e-05
00000111                   7                1.75         0.000106812
00001000                   8                   2          0.00012207
00001001                   9                2.25         0.000152588
00001010                  10                 2.5         0.000183105
00001011                  11                2.75         0.000213623
00001100                  12                   3         0.000244141
00001101                  13                3.25         0.000305176
00001110                  14                 3.5         0.000366211
00001111                  15                3.75         0.000427246
00010000                  16                   4         0.000488281
00010001                  17                4.25         0.000610352
00010010                  18                 4.5         0.000732422
00010011                  19                4.75         0.000854492
00010100                  20                   5         0.000976562
00010101                  21                5.25           0.0012207
00010110                  22                 5.5          0.00146484
00010111                  23                5.75          0.00170898
00011000                  24                   6          0.00195312
00011001                  25                6.25          0.00244141
00011010                  26                 6.5          0.00292969
00011011                  27                6.75          0.00341797
00011100                  28                   7          0.00390625
00011101                  29                7.25          0.00488281
00011110                  30                 7.5          0.00585938
00011111                  31                7.75          0.00683594
00100000                  32                   8           0.0078125
00100001                  33                8.25          0.00976562
00100010                  34                 8.5           0.0117188
00100011                  35                8.75           0.0136719
00100100                  36                   9            0.015625
00100101                  37                9.25           0.0195312
00100110                  38                 9.5           0.0234375
00100111                  39                9.75           0.0273438
00101000                  40                  10             0.03125
00101001                  41               10.25           0.0390625
00101010                  42                10.5            0.046875
00101011                  43               10.75           0.0546875
00101100                  44                  11              0.0625
00101101                  45               11.25            0.078125
00101110                  46                11.5             0.09375
00101111                  47               11.75            0.109375
00110000                  48                  12               0.125
00110001                  49               12.25             0.15625
00110010                  50                12.5              0.1875
00110011                  51               12.75             0.21875
00110100                  52                  13                0.25
00110101                  53               13.25              0.3125
00110110                  54                13.5               0.375
00110111                  55               13.75              0.4375
00111000                  56                  14                 0.5
00111001                  57               14.25               0.625
00111010                  58                14.5                0.75
00111011                  59               14.75               0.875
00111100                  60                  15                   1
00111101                  61               15.25                1.25
00111110                  62                15.5                 1.5
00111111                  63               15.75                1.75
01000000                  64                  16                   2
01000001                  65               16.25                 2.5
01000010                  66                16.5                   3
01000011                  67               16.75                 3.5
01000100                  68                  17                   4
01000101                  69               17.25                   5
01000110                  70                17.5                   6
01000111                  71               17.75                   7
01001000                  72                  18                   8
01001001                  73               18.25                  10
01001010                  74                18.5                  12
01001011                  75               18.75                  14
01001100                  76                  19                  16
01001101                  77               19.25                  20
01001110                  78                19.5                  24
01001111                  79               19.75                  28
01010000                  80                  20                  32
01010001                  81               20.25                  40
01010010                  82                20.5                  48
01010011                  83               20.75                  56
01010100                  84                  21                  64
01010101                  85               21.25                  80
